symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
SOLUSDT,做空观察,100,1777523699999,1777534499999,82.42,83.11671428571428,83.11671428571428,81.72328571428572,81.02657142857144,0.0,False,3.0,3.75e-05,False,止损,-0.009490718705584555
SOLUSDT,做空观察,100,1777585799999,1777591199999,82.89,82.92,83.19749999999999,82.58250000000001,82.27500000000002,0.0,False,1.5,1.875e-05,False,到期平仓,-0.0013806754433586818
SOLUSDT,做多观察,98,1777686899999,1777691699999,83.99,83.68971428571429,83.68971428571429,84.2902857142857,84.59057142857141,0.0,False,1.5,1.6666666666666667e-05,False,止损,-0.004591922224300989
SOLUSDT,做多观察,96,1777713599999,1777717199999,83.88,83.88,83.69814285714286,84.06185714285714,84.24371428571428,0.0,False,1.5,1.25e-05,True,半仓止盈后保本,7.153160978266732e-05
SOLUSDT,做多观察,100,1777738799999,1777745699999,84.12,83.89307142857143,83.89307142857143,84.34692857142858,84.57385714285715,0.0,False,2.5,2.3958333333333334e-05,False,止损,-0.003721635121595018
SOLUSDT,做多观察,100,1777757699999,1777759499999,84.41,84.41,84.16978571428571,84.65021428571428,84.89042857142857,0.0,False,2.5,6.25e-06,True,半仓止盈后保本,0.00041665182273597747
SOLUSDT,做多观察,100,1777792199999,1777797599999,83.85,83.86,83.55142857142857,84.14857142857142,84.44714285714284,0.0,False,1.5,1.875e-05,False,到期平仓,-0.0008994894156230755
SOLUSDT,做多观察,100,1777801199999,1777805399999,84.05,83.78171428571429,83.78171428571429,84.31828571428571,84.58657142857142,0.0,False,1.5,1.4583333333333333e-05,False,止损,-0.004206560897708232
SOLUSDT,做多观察,100,1777820099999,1777823699999,84.34,84.06714285714287,84.06714285714287,84.61285714285714,84.88571428571427,0.0,False,2.5,1.25e-05,False,止损,-0.004247704444594905
SOLUSDT,做多观察,100,1777836899999,1777844699999,84.41,84.09285714285714,84.09285714285714,84.72714285714285,85.0442857142857,0.0,False,2.5,2.7083333333333332e-05,False,止损,-0.004784254961610255
SOLUSDT,做多观察,100,1777904699999,1777907999999,84.47,84.47,83.82135714285714,85.11864285714286,85.76728571428572,0.0,False,1.5,1.1458333333333333e-05,True,半仓止盈后保本,0.002828028213031414
SOLUSDT,做多观察,100,1777985699999,1777986599999,85.31,86.03842857142857,84.94578571428572,85.67421428571429,86.03842857142857,0.0,False,3.0,3.125e-06,True,分批止盈,0.005400830322604904
SOLUSDT,做多观察,100,1778008199999,1778011499999,85.91,86.68514285714284,85.52242857142858,86.29757142857142,86.68514285714284,0.0,False,2.5,1.1458333333333333e-05,True,分批止盈,0.0057555902390928025
SOLUSDT,做多观察,100,1778036699999,1778043899999,87.17,86.85,86.49042857142857,87.84957142857144,88.52914285714287,0.0,False,2.0,2.5e-05,False,到期平仓,-0.004695987725134879
SOLUSDT,做多观察,100,1778051399999,1778054999999,87.63,87.84,87.09828571428571,88.16171428571428,88.69342857142857,0.0,False,1.0,1.25e-05,False,到期平仓,0.0013839395754879375
SOLUSDT,做多观察,100,1778056499999,1778060099999,88.11,89.01,87.466,88.754,89.39800000000001,0.0,False,1.0,1.25e-05,True,半仓止盈后到期,0.0077492750539099485
